"File","Line","Match","Pattern"
"C:\Users\yejc2\source\repos\TOMWMS\AppGlobal\AppGlobal.vbproj","449","<Error Condition=""!Exists('..\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets')"" Text=""$([System.String]::Format('$(ErrorText)', '..\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets'))"" />","System\.ValueTuple"
"C:\Users\yejc2\source\repos\TOMWMS\AppGlobal\AppGlobal.vbproj","449","<Error Condition=""!Exists('..\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets')"" Text=""$([System.String]::Format('$(ErrorText)', '..\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets'))"" />","System\.ValueTuple\."
"C:\Users\yejc2\source\repos\TOMWMS\AppGlobal\AppGlobal.vbproj","451","<Import Project=""..\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets"" Condition=""Exists('..\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\AppGlobal\AppGlobal.vbproj","451","<Import Project=""..\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets"" Condition=""Exists('..\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets')"" />","packages\\System\.ValueTuple"
"C:\Users\yejc2\source\repos\TOMWMS\AppGlobal\AppGlobal.vbproj","451","<Import Project=""..\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets"" Condition=""Exists('..\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets')"" />","System\.ValueTuple"
"C:\Users\yejc2\source\repos\TOMWMS\AppGlobal\AppGlobal.vbproj","451","<Import Project=""..\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets"" Condition=""Exists('..\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets')"" />","System\.ValueTuple\."
"C:\Users\yejc2\source\repos\TOMWMS\AppGlobal\packages.config","61","<package id=""System.ValueTuple"" version=""4.6.1"" targetFramework=""net48"" />","System\.ValueTuple"
"C:\Users\yejc2\source\repos\TOMWMS\Archivos de copia de seguridad de Crystal Reports\WMS.vbproj","3","<Import Project=""..\..\packages\EntityFramework.6.4.4\build\EntityFramework.props"" Condition=""Exists('..\..\packages\EntityFramework.6.4.4\build\EntityFramework.props')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\Archivos de copia de seguridad de Crystal Reports\WMS.vbproj","5230","<PackageReference Include=""System.ValueTuple"">","System\.ValueTuple"
"C:\Users\yejc2\source\repos\TOMWMS\Archivos de copia de seguridad de Crystal Reports\WMS.vbproj","5249","<Import Project=""..\..\packages\Microsoft.CodeDom.Providers.DotNetCompilerPlatform.3.6.0\build\net472\Microsoft.CodeDom.Providers.DotNetCompilerPlatform.targets"" Condition=""Exists('..\..\packages\Microsoft.CodeDom.Providers.DotNetCompilerPlatform.3.6.0\build\net472\Microsoft.CodeDom.Providers.DotNetCompilerPlatform.targets')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\Archivos de copia de seguridad de Crystal Reports\WMS.vbproj","5250","<Import Project=""..\..\packages\EntityFramework.6.4.4\build\EntityFramework.targets"" Condition=""Exists('..\..\packages\EntityFramework.6.4.4\build\EntityFramework.targets')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\Archivos de copia de seguridad de Crystal Reports\WMS.vbproj","5251","<Import Project=""..\..\packages\Microsoft.Data.SqlClient.SNI.4.0.0\build\net46\Microsoft.Data.SqlClient.SNI.targets"" Condition=""Exists('..\..\packages\Microsoft.Data.SqlClient.SNI.4.0.0\build\net46\Microsoft.Data.SqlClient.SNI.targets')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\CEALSAMI3\AppGlobal\AppGlobal.vbproj","217","<None Include=""packages.config"" />","packages\.config"
"C:\Users\yejc2\source\repos\TOMWMS\CEALSAMI3\AppGlobal\AppGlobal.vbproj","220","<Import Project=""..\packages\Microsoft.SqlServer.SqlManagementObjects.140.17283.0\build\net40\Microsoft.SqlServer.SqlManagementObjects.targets"" Condition=""Exists('..\packages\Microsoft.SqlServer.SqlManagementObjects.140.17283.0\build\net40\Microsoft.SqlServer.SqlManagementObjects.targets')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\CEALSAMI3\CELSASYNC.vbproj","322","<None Include=""packages.config"" />","packages\.config"
"C:\Users\yejc2\source\repos\TOMWMS\CEALSAMI3\CELSASYNC.vbproj","377","<Import Project=""..\packages\EmptyLicensesLicx.3.0.0\build\EmptyLicensesLicx.targets"" Condition=""Exists('..\packages\EmptyLicensesLicx.3.0.0\build\EmptyLicensesLicx.targets')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\CEALSAMI3\CELSASYNC.vbproj","384","<!--<Import Project=""..\packages\EmptyLicensesLicx.1.1.0\build\EmptyLicensesLicx.targets"" Condition=""Exists('..\packages\EmptyLicensesLicx.1.1.0\build\EmptyLicensesLicx.targets')"" />-->","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\CEALSAMI3\CELSASYNC.vbproj","402","<Import Project=""..\packages\EmptyLicensesLicx.3.0.0\build\EmptyLicensesLicx.targets"" Condition=""Exists('..\packages\EmptyLicensesLicx.3.0.0\build\EmptyLicensesLicx.targets')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\CEALSAMI3\DAL\DAL.vbproj","728","<None Include=""packages.config"" />","packages\.config"
"C:\Users\yejc2\source\repos\TOMWMS\CEALSAMI3\DAL\DAL.vbproj","770","<Import Project=""..\..\packages\EmptyLicensesLicx.3.0.0\build\EmptyLicensesLicx.targets"" Condition=""Exists('..\..\packages\EmptyLicensesLicx.3.0.0\build\EmptyLicensesLicx.targets')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\DynamicsNavInterface\bin\Release\app.config","224","<assemblyIdentity name=""System.ValueTuple"" publicKeyToken=""cc7b13ffcd2ddd51"" culture=""neutral"" />","System\.ValueTuple"
"C:\Users\yejc2\source\repos\TOMWMS\DynamicsNavInterface\bin\Release\app.config","224","<assemblyIdentity name=""System.ValueTuple"" publicKeyToken=""cc7b13ffcd2ddd51"" culture=""neutral"" />","assemblyIdentity name=""System\.ValueTuple"""
"C:\Users\yejc2\source\repos\TOMWMS\DynamicsNavInterface\NavSync.vbproj","498","<None Include=""packages.config"" />","packages\.config"
"C:\Users\yejc2\source\repos\TOMWMS\DynamicsNavInterface\NavSync.vbproj","1139","<Import Project=""..\packages\EmptyLicensesLicx.3.0.0\build\EmptyLicensesLicx.targets"" Condition=""Exists('..\packages\EmptyLicensesLicx.3.0.0\build\EmptyLicensesLicx.targets')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\DynamicsNavInterface\NavSync.vbproj","1157","<Import Project=""..\packages\EmptyLicensesLicx.3.0.0\build\EmptyLicensesLicx.targets"" Condition=""Exists('..\packages\EmptyLicensesLicx.3.0.0\build\EmptyLicensesLicx.targets')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\GoCloud\GoCloud.vbproj","3","<Import Project=""..\packages\Microsoft.CodeDom.Providers.DotNetCompilerPlatform.2.0.1\build\net46\Microsoft.CodeDom.Providers.DotNetCompilerPlatform.props"" Condition=""Exists('..\packages\Microsoft.CodeDom.Providers.DotNetCompilerPlatform.2.0.1\build\net46\Microsoft.CodeDom.Providers.DotNetCompilerPlatform.props')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\GoCloud\GoCloud.vbproj","355","<None Include=""packages.config"" />","packages\.config"
"C:\Users\yejc2\source\repos\TOMWMS\MI3\MI3.vbproj","379","<None Include=""packages.config"" />","packages\.config"
"C:\Users\yejc2\source\repos\TOMWMS\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets","3","<!-- System.ValueTuple is inbox on .NET Framework >= 4.7.1 and therefore any potential redirect for it should be removed.","System\.ValueTuple"
"C:\Users\yejc2\source\repos\TOMWMS\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets","7","<SuggestedBindingRedirects Remove=""System.ValueTuple, Culture=neutral, PublicKeyToken=cc7b13ffcd2ddd51"" />","bindingRedirect.*System\.ValueTuple"
"C:\Users\yejc2\source\repos\TOMWMS\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets","7","<SuggestedBindingRedirects Remove=""System.ValueTuple, Culture=neutral, PublicKeyToken=cc7b13ffcd2ddd51"" />","System\.ValueTuple"
"C:\Users\yejc2\source\repos\TOMWMS\packages\System.ValueTuple.4.6.1\buildTransitive\net461\System.ValueTuple.targets","4","<Warning Text=""System.ValueTuple 4.6.1 doesn't support $(TargetFramework) and has not been tested with it. Consider upgrading your TargetFramework to net462 or later. You may also set &lt;SuppressTfmSupportBuildWarnings&gt;true&lt;/SuppressTfmSupportBuildWarnings&gt; in the project file to ignore this warning and attempt to run in this unsupported configuration at your own risk."" />","System\.ValueTuple"
"C:\Users\yejc2\source\repos\TOMWMS\packages\System.ValueTuple.4.6.1\buildTransitive\net471\System.ValueTuple.targets","3","<!-- System.ValueTuple is inbox on .NET Framework >= 4.7.1 and therefore any potential redirect for it should be removed.","System\.ValueTuple"
"C:\Users\yejc2\source\repos\TOMWMS\packages\System.ValueTuple.4.6.1\buildTransitive\net471\System.ValueTuple.targets","7","<SuggestedBindingRedirects Remove=""System.ValueTuple, Culture=neutral, PublicKeyToken=cc7b13ffcd2ddd51"" />","bindingRedirect.*System\.ValueTuple"
"C:\Users\yejc2\source\repos\TOMWMS\packages\System.ValueTuple.4.6.1\buildTransitive\net471\System.ValueTuple.targets","7","<SuggestedBindingRedirects Remove=""System.ValueTuple, Culture=neutral, PublicKeyToken=cc7b13ffcd2ddd51"" />","System\.ValueTuple"
"C:\Users\yejc2\source\repos\TOMWMS\RFIDPrint\obj\RFIDPrint.vbproj.nuget.g.props","23","<Import Project=""C:\Program Files\DevExpress 24.2\Components\Offline Packages\devexpress.data.desktop\24.2.12\build\net8.0-windows\DevExpress.Data.Desktop.props"" Condition=""Exists('C:\Program Files\DevExpress 24.2\Components\Offline Packages\devexpress.data.desktop\24.2.12\build\net8.0-windows\DevExpress.Data.Desktop.props')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\RFIDPrint\obj\RFIDPrint.vbproj.nuget.g.props","24","<Import Project=""C:\Program Files\DevExpress 24.2\Components\Offline Packages\devexpress.diagram.core\24.2.12\build\net8.0-windows\DevExpress.Diagram.Core.props"" Condition=""Exists('C:\Program Files\DevExpress 24.2\Components\Offline Packages\devexpress.diagram.core\24.2.12\build\net8.0-windows\DevExpress.Diagram.Core.props')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\RFIDPrint\obj\RFIDPrint.vbproj.nuget.g.targets","13","<Import Project=""C:\Program Files\DevExpress 24.2\Components\Offline Packages\devexpress.win.navigation\24.2.12\build\net8.0-windows\DevExpress.Win.Navigation.targets"" Condition=""Exists('C:\Program Files\DevExpress 24.2\Components\Offline Packages\devexpress.win.navigation\24.2.12\build\net8.0-windows\DevExpress.Win.Navigation.targets')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\RFIDPrint\obj\RFIDPrint.vbproj.nuget.g.targets","14","<Import Project=""C:\Program Files\DevExpress 24.2\Components\Offline Packages\devexpress.reporting.core\24.2.12\buildTransitive\DevExpress.Reporting.Core.targets"" Condition=""Exists('C:\Program Files\DevExpress 24.2\Components\Offline Packages\devexpress.reporting.core\24.2.12\buildTransitive\DevExpress.Reporting.Core.targets')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\SAPMI3PC\app.config","73","<assemblyIdentity name=""System.ValueTuple"" publicKeyToken=""cc7b13ffcd2ddd51"" culture=""neutral"" />","assemblyIdentity name=""System\.ValueTuple"""
"C:\Users\yejc2\source\repos\TOMWMS\SAPMI3PC\app.config","73","<assemblyIdentity name=""System.ValueTuple"" publicKeyToken=""cc7b13ffcd2ddd51"" culture=""neutral"" />","System\.ValueTuple"
"C:\Users\yejc2\source\repos\TOMWMS\SAPMI3PC\AppGlobal\AppGlobal.vbproj","217","<None Include=""packages.config"" />","packages\.config"
"C:\Users\yejc2\source\repos\TOMWMS\SAPMI3PC\AppGlobal\AppGlobal.vbproj","220","<Import Project=""..\packages\Microsoft.SqlServer.SqlManagementObjects.140.17283.0\build\net40\Microsoft.SqlServer.SqlManagementObjects.targets"" Condition=""Exists('..\packages\Microsoft.SqlServer.SqlManagementObjects.140.17283.0\build\net40\Microsoft.SqlServer.SqlManagementObjects.targets')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\SAPMI3PC\DAL\DAL.vbproj","573","<None Include=""packages.config"" />","packages\.config"
"C:\Users\yejc2\source\repos\TOMWMS\SAPMI3PC\DAL\DAL.vbproj","611","<!--<Import Project=""..\..\packages\EmptyLicensesLicx.1.1.0\build\EmptyLicensesLicx.targets"" Condition=""Exists('..\..\packages\EmptyLicensesLicx.1.1.0\build\EmptyLicensesLicx.targets')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\SAPMI3PC\SAPSYNC.vbproj","487","<!--<Import Project=""..\packages\EmptyLicensesLicx.1.1.0\build\EmptyLicensesLicx.targets"" Condition=""Exists('..\packages\EmptyLicensesLicx.1.1.0\build\EmptyLicensesLicx.targets')"" />-->","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNC_Killios\app.config","73","<assemblyIdentity name=""System.ValueTuple"" publicKeyToken=""cc7b13ffcd2ddd51"" culture=""neutral"" />","System\.ValueTuple"
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNC_Killios\app.config","73","<assemblyIdentity name=""System.ValueTuple"" publicKeyToken=""cc7b13ffcd2ddd51"" culture=""neutral"" />","assemblyIdentity name=""System\.ValueTuple"""
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNC_Killios\AppGlobal\AppGlobal.vbproj","217","<None Include=""packages.config"" />","packages\.config"
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNC_Killios\AppGlobal\AppGlobal.vbproj","220","<Import Project=""..\packages\Microsoft.SqlServer.SqlManagementObjects.140.17283.0\build\net40\Microsoft.SqlServer.SqlManagementObjects.targets"" Condition=""Exists('..\packages\Microsoft.SqlServer.SqlManagementObjects.140.17283.0\build\net40\Microsoft.SqlServer.SqlManagementObjects.targets')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNC_Killios\DAL\DAL.vbproj","573","<None Include=""packages.config"" />","packages\.config"
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNC_Killios\DAL\DAL.vbproj","611","<!--<Import Project=""..\..\packages\EmptyLicensesLicx.1.1.0\build\EmptyLicensesLicx.targets"" Condition=""Exists('..\..\packages\EmptyLicensesLicx.1.1.0\build\EmptyLicensesLicx.targets')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNC_Killios\SAPSYNCKILLIOS.vbproj","374","<!--<Import Project=""..\packages\EmptyLicensesLicx.1.1.0\build\EmptyLicensesLicx.targets"" Condition=""Exists('..\packages\EmptyLicensesLicx.1.1.0\build\EmptyLicensesLicx.targets')"" />-->","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNCCUMBRE\app.config","69","<assemblyIdentity name=""System.ValueTuple"" publicKeyToken=""cc7b13ffcd2ddd51"" culture=""neutral"" />","System\.ValueTuple"
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNCCUMBRE\app.config","69","<assemblyIdentity name=""System.ValueTuple"" publicKeyToken=""cc7b13ffcd2ddd51"" culture=""neutral"" />","assemblyIdentity name=""System\.ValueTuple"""
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNCCUMBRE\AppGlobal\AppGlobal.vbproj","217","<None Include=""packages.config"" />","packages\.config"
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNCCUMBRE\AppGlobal\AppGlobal.vbproj","220","<Import Project=""..\packages\Microsoft.SqlServer.SqlManagementObjects.140.17283.0\build\net40\Microsoft.SqlServer.SqlManagementObjects.targets"" Condition=""Exists('..\packages\Microsoft.SqlServer.SqlManagementObjects.140.17283.0\build\net40\Microsoft.SqlServer.SqlManagementObjects.targets')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNCCUMBRE\DAL\DAL.vbproj","573","<None Include=""packages.config"" />","packages\.config"
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNCCUMBRE\DAL\DAL.vbproj","611","<!--<Import Project=""..\..\packages\EmptyLicensesLicx.1.1.0\build\EmptyLicensesLicx.targets"" Condition=""Exists('..\..\packages\EmptyLicensesLicx.1.1.0\build\EmptyLicensesLicx.targets')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNCCUMBRE\SAPSYNCCUMBRE.vbproj","367","<None Include=""packages.config"" />","packages\.config"
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNCCUMBRE\SAPSYNCCUMBRE.vbproj","443","<!--<Import Project=""..\packages\EmptyLicensesLicx.1.1.0\build\EmptyLicensesLicx.targets"" Condition=""Exists('..\packages\EmptyLicensesLicx.1.1.0\build\EmptyLicensesLicx.targets')"" />-->","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNCMAMPA\app.config","69","<assemblyIdentity name=""System.ValueTuple"" publicKeyToken=""cc7b13ffcd2ddd51"" culture=""neutral"" />","assemblyIdentity name=""System\.ValueTuple"""
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNCMAMPA\app.config","69","<assemblyIdentity name=""System.ValueTuple"" publicKeyToken=""cc7b13ffcd2ddd51"" culture=""neutral"" />","System\.ValueTuple"
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNCMAMPA\AppGlobal\AppGlobal.vbproj","217","<None Include=""packages.config"" />","packages\.config"
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNCMAMPA\AppGlobal\AppGlobal.vbproj","220","<Import Project=""..\packages\Microsoft.SqlServer.SqlManagementObjects.140.17283.0\build\net40\Microsoft.SqlServer.SqlManagementObjects.targets"" Condition=""Exists('..\packages\Microsoft.SqlServer.SqlManagementObjects.140.17283.0\build\net40\Microsoft.SqlServer.SqlManagementObjects.targets')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNCMAMPA\DAL\DAL.vbproj","573","<None Include=""packages.config"" />","packages\.config"
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNCMAMPA\DAL\DAL.vbproj","611","<!--<Import Project=""..\..\packages\EmptyLicensesLicx.1.1.0\build\EmptyLicensesLicx.targets"" Condition=""Exists('..\..\packages\EmptyLicensesLicx.1.1.0\build\EmptyLicensesLicx.targets')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNCMAMPA\packages.config","14","<package id=""System.ValueTuple"" version=""4.6.1"" targetFramework=""net48"" />","System\.ValueTuple"
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNCMAMPA\SAPSYNCMAMPA.vbproj","419","<None Include=""packages.config"" />","packages\.config"
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNCMAMPA\SAPSYNCMAMPA.vbproj","493","<Import Project=""..\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets"" Condition=""Exists('..\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets')"" />","System\.ValueTuple\."
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNCMAMPA\SAPSYNCMAMPA.vbproj","493","<Import Project=""..\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets"" Condition=""Exists('..\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets')"" />","packages\\System\.ValueTuple"
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNCMAMPA\SAPSYNCMAMPA.vbproj","493","<Import Project=""..\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets"" Condition=""Exists('..\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNCMAMPA\SAPSYNCMAMPA.vbproj","493","<Import Project=""..\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets"" Condition=""Exists('..\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets')"" />","System\.ValueTuple"
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNCMAMPA\SAPSYNCMAMPA.vbproj","498","<Error Condition=""!Exists('..\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets')"" Text=""$([System.String]::Format('$(ErrorText)', '..\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets'))"" />","packages\\System\.ValueTuple"
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNCMAMPA\SAPSYNCMAMPA.vbproj","498","<Error Condition=""!Exists('..\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets')"" Text=""$([System.String]::Format('$(ErrorText)', '..\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets'))"" />","System\.ValueTuple\."
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNCMAMPA\SAPSYNCMAMPA.vbproj","498","<Error Condition=""!Exists('..\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets')"" Text=""$([System.String]::Format('$(ErrorText)', '..\packages\System.ValueTuple.4.6.1\build\net471\System.ValueTuple.targets'))"" />","System\.ValueTuple"
"C:\Users\yejc2\source\repos\TOMWMS\SAPSYNCMAMPA\SAPSYNCMAMPA.vbproj","500","<!--<Import Project=""..\packages\EmptyLicensesLicx.1.1.0\build\EmptyLicensesLicx.targets"" Condition=""Exists('..\packages\EmptyLicensesLicx.1.1.0\build\EmptyLicensesLicx.targets')"" />-->","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\TESTWCFHH\TESTWCFHH.vbproj","268","<None Include=""packages.config"" />","packages\.config"
"C:\Users\yejc2\source\repos\TOMWMS\TESTWCFHH\TESTWCFHH.vbproj","429","<Import Project=""..\packages\Microsoft.CodeDom.Providers.DotNetCompilerPlatform.4.1.0\build\net472\Microsoft.CodeDom.Providers.DotNetCompilerPlatform.targets"" Condition=""Exists('..\packages\Microsoft.CodeDom.Providers.DotNetCompilerPlatform.4.1.0\build\net472\Microsoft.CodeDom.Providers.DotNetCompilerPlatform.targets')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\TESTWCFHH\TESTWCFHH.vbproj","441","<Import Project=""..\packages\Microsoft.ApplicationInsights.DependencyCollector.2.23.0\build\Microsoft.ApplicationInsights.DependencyCollector.targets"" Condition=""Exists('..\packages\Microsoft.ApplicationInsights.DependencyCollector.2.23.0\build\Microsoft.ApplicationInsights.DependencyCollector.targets')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\TESTWCFHH\TESTWCFHH.vbproj","442","<Import Project=""..\packages\Microsoft.ApplicationInsights.PerfCounterCollector.2.23.0\build\Microsoft.ApplicationInsights.PerfCounterCollector.targets"" Condition=""Exists('..\packages\Microsoft.ApplicationInsights.PerfCounterCollector.2.23.0\build\Microsoft.ApplicationInsights.PerfCounterCollector.targets')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\TESTWCFHH\TESTWCFHH.vbproj","443","<Import Project=""..\packages\Microsoft.ApplicationInsights.WindowsServer.TelemetryChannel.2.23.0\build\Microsoft.ApplicationInsights.WindowsServer.TelemetryChannel.targets"" Condition=""Exists('..\packages\Microsoft.ApplicationInsights.WindowsServer.TelemetryChannel.2.23.0\build\Microsoft.ApplicationInsights.WindowsServer.TelemetryChannel.targets')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\TESTWCFHH\TESTWCFHH.vbproj","444","<Import Project=""..\packages\Microsoft.ApplicationInsights.WindowsServer.2.23.0\build\Microsoft.ApplicationInsights.WindowsServer.targets"" Condition=""Exists('..\packages\Microsoft.ApplicationInsights.WindowsServer.2.23.0\build\Microsoft.ApplicationInsights.WindowsServer.targets')"" />","<Import Project="".*packages\\"
"C:\Users\yejc2\source\repos\TOMWMS\TESTWCFHH\TESTWCFHH.vbproj","445","<Import Project=""..\packages\Microsoft.ApplicationInsights.Web.2.23.0\build\Microsoft.ApplicationInsights.Web.targets"" Condition=""Exists('..\packages\Microsoft.ApplicationInsights.Web.2.23.0\build\Microsoft.ApplicationInsights.Web.targets')"" />","<Import Project="".*packages\\"
